date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:14	81465/81465	---M--	200	added ('OK')	image/jpeg	etag:%2213e39-5bf372f95f65b%22	https://dyimg77.exportersindia.com/catalog-gallery/gallery_25508_20210405160026.jpg	C:/My%20Web%20Sites/WEBSITE1234/dyimg77.exportersindia.com/catalog-gallery/gallery_25508_20210405160026.jpg	(from http://www.cheemafarm.co.in/gallery.htm)
20:52:17	74204/74204	---M--	200	added ('OK')	image/jpeg	etag:%22121dc-5bfe9c06120e0%22	https://dyimg77.exportersindia.com/catalog-gallery/gallery_25997_20210414130239.jpg	C:/My%20Web%20Sites/WEBSITE1234/dyimg77.exportersindia.com/catalog-gallery/gallery_25997_20210414130239.jpg	(from http://www.cheemafarm.co.in/gallery.htm)
20:52:29	1463689/1463689	---M--	200	added ('OK')	image/png	etag:%22165589-5c453eaca0d96%22	http://catalog.wlimg.com/templates-images/12577/12584/inqBg.png	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/templates-images/12577/12584/inqBg.png	(from https://catalog.wlimg.com/templates-images/12577/12584/catalog.css)
20:52:29	86289/86289	---M--	200	added ('OK')	image/jpeg	etag:%2215111-5bfe9c20ed8a6%22	https://dyimg77.exportersindia.com/catalog-gallery/gallery_26000_20210414130307.jpg	C:/My%20Web%20Sites/WEBSITE1234/dyimg77.exportersindia.com/catalog-gallery/gallery_26000_20210414130307.jpg	(from http://www.cheemafarm.co.in/gallery.htm)
20:52:35	18521/18521	---M--	200	added ('OK')	image/png	etag:%224859-5bae15c107b14%22	http://catalog.wlimg.com/templates-images/12577/12584/pi-icons/overseas.png	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/templates-images/12577/12584/pi-icons/overseas.png	(from https://catalog.wlimg.com/templates-images/12577/12584/catalog.css)
20:52:36	1016/1016	---M--	200	added ('OK')	image/png	etag:%223f8-5becf5136e762%22	http://catalog.wlimg.com/templates-images/12577/12584/dotted-abtImg.png	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/templates-images/12577/12584/dotted-abtImg.png	(from https://catalog.wlimg.com/templates-images/12577/12584/catalog.css)
20:52:39	122565/122565	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202021%2015:22:29%20GMT	http://www.cheemafarm.co.in/current-jobs.htm	C:/My%20Web%20Sites/WEBSITE1234/www.cheemafarm.co.in/current-jobs.html	(from http://www.cheemafarm.co.in/sitemap.htm)
20:52:39	1442/1442	---M--	200	added ('OK')	image/gif	etag:%225a2-5bde34b862572%22	http://catalog.wlimg.com/templates-images/12577/12584/serBg.gif	C:/My%20Web%20Sites/WEBSITE1234/catalog.wlimg.com/templates-images/12577/12584/serBg.gif	(from https://catalog.wlimg.com/templates-images/12577/12584/catalog.css)
20:52:41	11675/11675	---MC-	200	added ('OK')	text/html	date:Fri,%2016%20Jul%202021%2015:22:39%20GMT	http://www.cheemafarm.co.in/enquiry-form-10019.htm?product_slno=2910446	C:/My%20Web%20Sites/WEBSITE1234/www.cheemafarm.co.in/enquiry-form-100198a96.html	(from http://www.cheemafarm.co.in/live-brahma-chicken.htm)
20:52:48	93636/93636	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a47-16dc4%22	https://code.jquery.com/jquery-1.8.3.min.js	C:/My%20Web%20Sites/WEBSITE1234/code.jquery.com/jquery-1.8.3.min.js	(from http://www.cheemafarm.co.in/enquiry-form-10019.htm?product_slno=2906069)
20:52:53	339210/339210	---M--	200	added ('OK')	image/jpeg	etag:%2252d0a-5bfe9c11503a4%22	https://dyimg77.exportersindia.com/catalog-gallery/gallery_25998_20210414130251.jpg	C:/My%20Web%20Sites/WEBSITE1234/dyimg77.exportersindia.com/catalog-gallery/gallery_25998_20210414130251.jpg	(from http://www.cheemafarm.co.in/gallery.htm)
